home_team,away_team,home_score,away_score,Round,Date,Score,Host,Year,winner,result_numeric
England,Egypt,1,0,Group stage,1990-06-21,1–0,Italy,1990,England,1
Brazil,Scotland,1,0,Group stage,1990-06-20,1–0,Italy,1990,Brazil,1
Argentina,Romania,1,1,Group stage,1990-06-18,1–1,Italy,1990,Draw,0
Belgium,Uruguay,3,1,Group stage,1990-06-17,3–1,Italy,1990,Belgium,1
Korea Republic,Spain,1,3,Group stage,1990-06-17,1–3,Italy,1990,Spain,-1
England,Netherlands,0,0,Group stage,1990-06-16,0–0,Italy,1990,Draw,0
Sweden,Scotland,1,2,Group stage,1990-06-16,1–2,Italy,1990,Scotland,-1
Uruguay,Spain,0,0,Group stage,1990-06-13,0–0,Italy,1990,Draw,0
Belgium,Korea Republic,2,0,Group stage,1990-06-12,2–0,Italy,1990,Belgium,1
Netherlands,Egypt,1,1,Group stage,1990-06-12,1–1,Italy,1990,Draw,0
Brazil,Sweden,2,1,Group stage,1990-06-10,2–1,Italy,1990,Brazil,1
Italy,Austria,1,0,Group stage,1990-06-09,1–0,Italy,1990,Italy,1
France,Belgium,4,2,Third-place match,1986-06-28,4–2,Mexico,1986,France,1
Argentina,Belgium,2,0,Semi-finals,1986-06-25,2–0,Mexico,1986,Argentina,1
Argentina,England,2,1,Quarter-finals,1986-06-22,2–1,Mexico,1986,Argentina,1
Spain,Belgium,1,1,Quarter-finals,1986-06-22,(4) 1–1 (5),Mexico,1986,Draw,0
Brazil,France,1,1,Quarter-finals,1986-06-21,(3) 1–1 (4),Mexico,1986,Draw,0
Denmark,Spain,1,5,Round of 16,1986-06-18,1–5,Mexico,1986,Spain,-1
Italy,France,0,2,Round of 16,1986-06-17,0–2,Mexico,1986,France,-1
Brazil,Poland,4,0,Round of 16,1986-06-16,4–0,Mexico,1986,Brazil,1
Argentina,Uruguay,1,0,Round of 16,1986-06-16,1–0,Mexico,1986,Argentina,1
Scotland,Uruguay,0,0,Group stage,1986-06-13,0–0,Mexico,1986,Draw,0
Algeria,Spain,0,3,Group stage,1986-06-12,0–3,Mexico,1986,Spain,-1
England,Poland,3,0,Group stage,1986-06-11,3–0,Mexico,1986,England,1
Portugal,Morocco,1,3,Group stage,1986-06-11,1–3,Mexico,1986,Morocco,-1
Korea Republic,Italy,2,3,Group stage,1986-06-10,2–3,Mexico,1986,Italy,-1
Hungary,France,0,3,Group stage,1986-06-09,0–3,Mexico,1986,France,-1
Denmark,Uruguay,6,1,Group stage,1986-06-08,6–1,Mexico,1986,Denmark,1
Poland,Portugal,1,0,Group stage,1986-06-07,1–0,Mexico,1986,Poland,1
Brazil,Algeria,1,0,Group stage,1986-06-06,1–0,Mexico,1986,Brazil,1
Hungary,Canada,2,0,Group stage,1986-06-06,2–0,Mexico,1986,Hungary,1
England,Morocco,0,0,Group stage,1986-06-06,0–0,Mexico,1986,Draw,0
Italy,Argentina,1,1,Group stage,1986-06-05,1–1,Mexico,1986,Draw,0
Scotland,Denmark,0,1,Group stage,1986-06-04,0–1,Mexico,1986,Denmark,-1
Belgium,Mexico,1,2,Group stage,1986-06-03,1–2,Mexico,1986,Mexico,-1
Portugal,England,1,0,Group stage,1986-06-03,1–0,Mexico,1986,Portugal,1
Argentina,Korea Republic,3,1,Group stage,1986-06-02,3–1,Mexico,1986,Argentina,1
Morocco,Poland,0,0,Group stage,1986-06-02,0–0,Mexico,1986,Draw,0
Spain,Brazil,0,1,Group stage,1986-06-01,0–1,Mexico,1986,Brazil,-1
Canada,France,0,1,Group stage,1986-06-01,0–1,Mexico,1986,France,-1
Poland,France,3,2,Third-place match,1982-07-10,3–2,Spain,1982,Poland,1
Poland,Italy,0,2,Semi-finals,1982-07-08,0–2,Spain,1982,Italy,-1
Italy,Brazil,3,2,Second group stage,1982-07-05,3–2,Spain,1982,Italy,1
Spain,England,0,0,Second group stage,1982-07-05,0–0,Spain,1982,Draw,0
Argentina,Brazil,1,3,Second group stage,1982-07-02,1–3,Spain,1982,Brazil,-1
Italy,Argentina,2,1,Second group stage,1982-06-29,2–1,Spain,1982,Italy,1
Austria,France,0,1,Second group stage,1982-06-28,0–1,Spain,1982,France,-1
Poland,Belgium,3,0,Second group stage,1982-06-28,3–0,Spain,1982,Poland,1
Poland,Peru,5,1,First group stage,1982-06-22,5–1,Spain,1982,Poland,1
Belgium,Hungary,1,1,First group stage,1982-06-22,1–1,Spain,1982,Draw,0
Algeria,Austria,0,2,First group stage,1982-06-21,0–2,Spain,1982,Austria,-1
Italy,Peru,1,1,First group stage,1982-06-18,1–1,Spain,1982,Draw,0
Brazil,Scotland,4,1,First group stage,1982-06-18,4–1,Spain,1982,Brazil,1
Argentina,Hungary,4,1,First group stage,1982-06-18,4–1,Spain,1982,Argentina,1
England,France,3,1,First group stage,1982-06-16,3–1,Spain,1982,England,1
Italy,Poland,0,0,First group stage,1982-06-14,0–0,Spain,1982,Draw,0
Argentina,Belgium,0,1,First group stage,1982-06-13,0–1,Spain,1982,Belgium,-1
Argentina,Netherlands,3,1,Final,1978-06-25,3–1,Argentina,1978,Argentina,1
Brazil,Italy,2,1,Third-place match,1978-06-24,2–1,Argentina,1978,Brazil,1
Netherlands,Italy,2,1,Second round,1978-06-21,2–1,Argentina,1978,Netherlands,1
Brazil,Poland,3,1,Second round,1978-06-21,3–1,Argentina,1978,Brazil,1
Argentina,Peru,6,0,Second round,1978-06-21,6–0,Argentina,1978,Argentina,1
Poland,Peru,1,0,Second round,1978-06-18,1–0,Argentina,1978,Poland,1
Italy,Austria,1,0,Second round,1978-06-18,1–0,Argentina,1978,Italy,1
Argentina,Brazil,0,0,Second round,1978-06-18,0–0,Argentina,1978,Draw,0
Netherlands,Austria,5,1,Second round,1978-06-14,5–1,Argentina,1978,Netherlands,1
Brazil,Peru,3,0,Second round,1978-06-14,3–0,Argentina,1978,Brazil,1
Argentina,Poland,2,0,Second round,1978-06-14,2–0,Argentina,1978,Argentina,1
Brazil,Austria,1,0,First round,1978-06-11,1–0,Argentina,1978,Brazil,1
Spain,Sweden,1,0,First round,1978-06-11,1–0,Argentina,1978,Spain,1
Peru,IR Iran,4,1,First round,1978-06-11,4–1,Argentina,1978,Peru,1
Scotland,Netherlands,3,2,First round,1978-06-11,3–2,Argentina,1978,Scotland,1
France,Hungary,3,1,First round,1978-06-10,3–1,Argentina,1978,France,1
Poland,Mexico,3,1,First round,1978-06-10,3–1,Argentina,1978,Poland,1
Italy,Argentina,1,0,First round,1978-06-10,1–0,Argentina,1978,Italy,1
Austria,Sweden,1,0,First round,1978-06-07,1–0,Argentina,1978,Austria,1
Brazil,Spain,0,0,First round,1978-06-07,0–0,Argentina,1978,Draw,0
Netherlands,Peru,0,0,First round,1978-06-07,0–0,Argentina,1978,Draw,0
Scotland,IR Iran,1,1,First round,1978-06-07,1–1,Argentina,1978,Draw,0
Italy,Hungary,3,1,First round,1978-06-06,3–1,Argentina,1978,Italy,1
Argentina,France,2,1,First round,1978-06-06,2–1,Argentina,1978,Argentina,1
Sweden,Brazil,1,1,First round,1978-06-03,1–1,Argentina,1978,Draw,0
Austria,Spain,2,1,First round,1978-06-03,2–1,Argentina,1978,Austria,1
Peru,Scotland,3,1,First round,1978-06-03,3–1,Argentina,1978,Peru,1
Netherlands,IR Iran,3,0,First round,1978-06-03,3–0,Argentina,1978,Netherlands,1
Italy,France,2,1,First round,1978-06-02,2–1,Argentina,1978,Italy,1
Argentina,Hungary,2,1,First round,1978-06-02,2–1,Argentina,1978,Argentina,1
Brazil,Poland,0,1,Third-place match,1974-07-06,0–1,Germany,1974,Poland,-1
Netherlands,Brazil,2,0,Second round,1974-07-03,2–0,Germany,1974,Netherlands,1
Argentina,Brazil,1,2,Second round,1974-06-30,1–2,Germany,1974,Brazil,-1
Sweden,Poland,0,1,Second round,1974-06-26,0–1,Germany,1974,Poland,-1
Netherlands,Argentina,4,0,Second round,1974-06-26,4–0,Germany,1974,Netherlands,1
Poland,Italy,2,1,First round,1974-06-23,2–1,Germany,1974,Poland,1
Sweden,Uruguay,3,0,First round,1974-06-23,3–0,Germany,1974,Sweden,1
Netherlands,Sweden,0,0,First round,1974-06-19,0–0,Germany,1974,Draw,0
Argentina,Italy,1,1,First round,1974-06-19,1–1,Germany,1974,Draw,0
Scotland,Brazil,0,0,First round,1974-06-18,0–0,Germany,1974,Draw,0
Uruguay,Netherlands,0,2,First round,1974-06-15,0–2,Germany,1974,Netherlands,-1
Poland,Argentina,3,2,First round,1974-06-15,3–2,Germany,1974,Poland,1
Brazil,Italy,4,1,Final,1970-06-21,4–1,Mexico,1970,Brazil,1
Brazil,Uruguay,3,1,Semi-finals,1970-06-17,3–1,Mexico,1970,Brazil,1
Brazil,Peru,4,2,Quarter-finals,1970-06-14,4–2,Mexico,1970,Brazil,1
Italy,Mexico,4,1,Quarter-finals,1970-06-14,4–1,Mexico,1970,Italy,1
Mexico,Belgium,1,0,Group stage,1970-06-11,1–0,Mexico,1970,Mexico,1
Brazil,Romania,3,2,Group stage,1970-06-10,3–2,Mexico,1970,Brazil,1
Sweden,Uruguay,1,0,Group stage,1970-06-10,1–0,Mexico,1970,Sweden,1
Brazil,England,1,0,Group stage,1970-06-07,1–0,Mexico,1970,Brazil,1
Uruguay,Italy,0,0,Group stage,1970-06-06,0–0,Mexico,1970,Draw,0
Peru,Morocco,3,0,Group stage,1970-06-06,3–0,Mexico,1970,Peru,1
Italy,Sweden,1,0,Group stage,1970-06-03,1–0,Mexico,1970,Italy,1
England,Romania,1,0,Group stage,1970-06-02,1–0,Mexico,1970,England,1
England,Portugal,2,1,Semi-finals,1966-07-26,2–1,England,1966,England,1
England,Argentina,1,0,Quarter-finals,1966-07-23,1–0,England,1966,England,1
England,France,2,0,Group stage,1966-07-20,2–0,England,1966,England,1
Uruguay,Mexico,0,0,Group stage,1966-07-19,0–0,England,1966,Draw,0
Argentina,Switzerland,2,0,Group stage,1966-07-19,2–0,England,1966,Argentina,1
Portugal,Brazil,3,1,Group stage,1966-07-19,3–1,England,1966,Portugal,1
England,Mexico,2,0,Group stage,1966-07-16,2–0,England,1966,England,1
Spain,Switzerland,2,1,Group stage,1966-07-15,2–1,England,1966,Spain,1
Uruguay,France,2,1,Group stage,1966-07-15,2–1,England,1966,Uruguay,1
Hungary,Brazil,3,1,Group stage,1966-07-15,3–1,England,1966,Hungary,1
Argentina,Spain,2,1,Group stage,1966-07-13,2–1,England,1966,Argentina,1
France,Mexico,1,1,Group stage,1966-07-13,1–1,England,1966,Draw,0
Portugal,Hungary,3,1,Group stage,1966-07-13,3–1,England,1966,Portugal,1
England,Uruguay,0,0,Group stage,1966-07-11,0–0,England,1966,Draw,0
Brazil,England,3,1,Quarter-finals,1962-06-10,3–1,Chile,1962,Brazil,1
Italy,Switzerland,3,0,Group stage,1962-06-07,3–0,Chile,1962,Italy,1
Hungary,Argentina,0,0,Group stage,1962-06-06,0–0,Chile,1962,Draw,0
Brazil,Spain,2,1,Group stage,1962-06-06,2–1,Chile,1962,Brazil,1
Spain,Mexico,1,0,Group stage,1962-06-03,1–0,Chile,1962,Spain,1
England,Argentina,3,1,Group stage,1962-06-02,3–1,Chile,1962,England,1
Hungary,England,2,1,Group stage,1962-05-31,2–1,Chile,1962,Hungary,1
Uruguay,Colombia,2,1,Group stage,1962-05-30,2–1,Chile,1962,Uruguay,1
Brazil,Mexico,2,0,Group stage,1962-05-30,2–0,Chile,1962,Brazil,1
Brazil,Sweden,5,2,Final,1958-06-29,5–2,Sweden,1958,Brazil,1
Brazil,France,5,2,Semi-finals,1958-06-24,5–2,Sweden,1958,Brazil,1
Brazil,Wales,1,0,Quarter-finals,1958-06-19,1–0,Sweden,1958,Brazil,1
Wales,Hungary,2,1,Group stage play-off,1958-06-17,2–1,Sweden,1958,Wales,1
Sweden,Wales,0,0,Group stage,1958-06-15,0–0,Sweden,1958,Draw,0
England,Austria,2,2,Group stage,1958-06-15,2–2,Sweden,1958,Draw,0
Hungary,Mexico,4,0,Group stage,1958-06-15,4–0,Sweden,1958,Hungary,1
France,Scotland,2,1,Group stage,1958-06-15,2–1,Sweden,1958,France,1
Sweden,Hungary,2,1,Group stage,1958-06-12,2–1,Sweden,1958,Sweden,1
Brazil,England,0,0,Group stage,1958-06-11,0–0,Sweden,1958,Draw,0
Mexico,Wales,1,1,Group stage,1958-06-11,1–1,Sweden,1958,Draw,0
Sweden,Mexico,3,0,Group stage,1958-06-08,3–0,Sweden,1958,Sweden,1
Hungary,Wales,1,1,Group stage,1958-06-08,1–1,Sweden,1958,Draw,0
Brazil,Austria,3,0,Group stage,1958-06-08,3–0,Sweden,1958,Brazil,1
Germany,Hungary,3,2,Final,1954-07-04,3–2,Switzerland,1954,Germany,1
Austria,Uruguay,3,1,Third-place match,1954-07-03,3–1,Switzerland,1954,Austria,1
Hungary,Uruguay,4,2,Semi-finals,1954-06-30,4–2,Switzerland,1954,Hungary,1
Germany,Austria,6,1,Semi-finals,1954-06-30,6–1,Switzerland,1954,Germany,1
Hungary,Brazil,4,2,Quarter-finals,1954-06-27,4–2,Switzerland,1954,Hungary,1
Uruguay,England,4,2,Quarter-finals,1954-06-26,4–2,Switzerland,1954,Uruguay,1
Switzerland,Austria,5,7,Quarter-finals,1954-06-26,5–7,Switzerland,1954,Austria,-1
Germany,Türkiye,7,2,Group stage play-off,1954-06-23,7–2,Switzerland,1954,Germany,1
Switzerland,Italy,4,1,Group stage play-off,1954-06-23,4–1,Switzerland,1954,Switzerland,1
Hungary,Germany,8,3,Group stage,1954-06-20,8–3,Switzerland,1954,Hungary,1
Türkiye,Korea Republic,7,0,Group stage,1954-06-20,7–0,Switzerland,1954,Türkiye,1
Italy,Belgium,4,1,Group stage,1954-06-20,4–1,Switzerland,1954,Italy,1
Switzerland,England,0,2,Group stage,1954-06-20,0–2,Switzerland,1954,England,-1
Uruguay,Scotland,7,0,Group stage,1954-06-19,7–0,Switzerland,1954,Uruguay,1
France,Mexico,3,2,Group stage,1954-06-19,3–2,Switzerland,1954,France,1
Switzerland,Italy,2,1,Group stage,1954-06-17,2–1,Switzerland,1954,Switzerland,1
Hungary,Korea Republic,9,0,Group stage,1954-06-17,9–0,Switzerland,1954,Hungary,1
Germany,Türkiye,4,1,Group stage,1954-06-17,4–1,Switzerland,1954,Germany,1
England,Belgium,4,4,Group stage,1954-06-17,4–4,Switzerland,1954,Draw,0
Brazil,Mexico,5,0,Group stage,1954-06-16,5–0,Switzerland,1954,Brazil,1
Austria,Scotland,1,0,Group stage,1954-06-16,1–0,Switzerland,1954,Austria,1
Sweden,Spain,3,1,Final stage,1950-07-16,3–1,Brazil,1950,Sweden,1
Uruguay,Brazil,2,1,Final stage,1950-07-16,2–1,Brazil,1950,Uruguay,1
Brazil,Spain,6,1,Final stage,1950-07-13,6–1,Brazil,1950,Brazil,1
Uruguay,Sweden,3,2,Final stage,1950-07-13,3–2,Brazil,1950,Uruguay,1
Brazil,Sweden,7,1,Final stage,1950-07-09,7–1,Brazil,1950,Brazil,1
Uruguay,Spain,2,2,Final stage,1950-07-09,2–2,Brazil,1950,Draw,0
Spain,England,1,0,Group stage,1950-07-02,1–0,Brazil,1950,Spain,1
Switzerland,Mexico,2,1,Group stage,1950-07-02,2–1,Brazil,1950,Switzerland,1
Brazil,Switzerland,2,2,Group stage,1950-06-28,2–2,Brazil,1950,Draw,0
Sweden,Italy,3,2,Group stage,1950-06-25,3–2,Brazil,1950,Sweden,1
Brazil,Mexico,4,0,Group stage,1950-06-24,4–0,Brazil,1950,Brazil,1
Brazil,Sweden,4,2,Third-place match,1938-06-19,4–2,France,1938,Brazil,1
Italy,Hungary,4,2,Final,1938-06-19,4–2,France,1938,Italy,1
Hungary,Sweden,5,1,Semi-finals,1938-06-16,5–1,France,1938,Hungary,1
Italy,Brazil,2,1,Semi-finals,1938-06-16,2–1,France,1938,Italy,1
Hungary,Switzerland,2,0,Quarter-finals,1938-06-12,2–0,France,1938,Hungary,1
Italy,France,3,1,Quarter-finals,1938-06-12,3–1,France,1938,Italy,1
Switzerland,Germany,4,2,Round of 16,1938-06-09,4–2,France,1938,Switzerland,1
Italy,Norway,2,1,Round of 16,1938-06-05,2–1,France,1938,Italy,1
France,Belgium,3,1,Round of 16,1938-06-05,3–1,France,1938,France,1
Brazil,Poland,6,5,Round of 16,1938-06-05,6–5,France,1938,Brazil,1
Switzerland,Germany,1,1,Round of 16,1938-06-04,1–1,France,1938,Draw,0
Germany,Austria,3,2,Third-place match,1934-06-07,3–2,Italy,1934,Germany,1
Italy,Austria,1,0,Semi-finals,1934-06-03,1–0,Italy,1934,Italy,1
Italy,Spain,1,0,Quarter-finals,1934-06-01,1–0,Italy,1934,Italy,1
Austria,Hungary,2,1,Quarter-finals,1934-05-31,2–1,Italy,1934,Austria,1
Italy,Spain,1,1,Quarter-finals,1934-05-31,1–1,Italy,1934,Draw,0
Germany,Sweden,2,1,Quarter-finals,1934-05-31,2–1,Italy,1934,Germany,1
Hungary,Egypt,4,2,Round of 16,1934-05-27,4–2,Italy,1934,Hungary,1
Austria,France,3,2,Round of 16,1934-05-27,3–2,Italy,1934,Austria,1
Switzerland,Netherlands,3,2,Round of 16,1934-05-27,3–2,Italy,1934,Switzerland,1
Sweden,Argentina,3,2,Round of 16,1934-05-27,3–2,Italy,1934,Sweden,1
Spain,Brazil,3,1,Round of 16,1934-05-27,3–1,Italy,1934,Spain,1
Germany,Belgium,5,2,Round of 16,1934-05-27,5–2,Italy,1934,Germany,1
Uruguay,Argentina,4,2,Final,1930-07-30,4–2,Uruguay,1930,Uruguay,1
Uruguay,Romania,4,0,Group stage,1930-07-21,4–0,Uruguay,1930,Uruguay,1
Argentina,Mexico,6,3,Group stage,1930-07-19,6–3,Uruguay,1930,Argentina,1
Uruguay,Peru,1,0,Group stage,1930-07-18,1–0,Uruguay,1930,Uruguay,1
Argentina,France,1,0,Group stage,1930-07-15,1–0,Uruguay,1930,Argentina,1
Romania,Peru,3,1,Group stage,1930-07-14,3–1,Uruguay,1930,Romania,1
France,Mexico,4,1,Group stage,1930-07-13,4–1,Uruguay,1930,France,1
